ID,CONJUNTODADOS_PRODUTO,TABELA,ORDEM_ORIGEM,TABELA_ORIGEM,SISTEMA_ORIGEM,SERVIDOR_ORIGEM,DATABASE_ORIGEM,SCHEMA_ORIGEM,TIPO_CONEXAO,REPOSITORIO,MECANICA,FREQUENCIA,MODO_ESCRITA
DB_PAN_DL_CURATED.CLOUDTRAIL_AWSLOGS_TEMP,Engenharia de Dados,CLOUDTRAIL_AWSLOGS_TEMP,1,,,,,,,,,,
DB_PAN_DL_CURATED.CLOUDTRAIL_AWSLOGS_TEMP2,Engenharia de Dados,CLOUDTRAIL_AWSLOGS_TEMP2,1,,,,,,,,,,
DB_PAN_DL_SPEC.DB_PAN_DL_SPEC,Banco Digital,DB_PAN_DL_SPEC.VW_BANCO_DIGITAL_ONBOARDING_ONBOARDING_CADASTRO,1,,,,,,,,,,
DB_PAN_DL_SPEC.TABELA_FLAG_MOR_VALIDO,Crédito,TABELA_FLAG_MOR_VALIDO,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST,1,,,,,,,,,Diária,
DB_PAN_DL_CURATED.TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST,1,,,,,,,,,Diária,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST_SUB,1,,,,,,,,,Diária,
DB_PAN_DL_CURATED.TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_EXTRATO_ANALITICO_LIST_SUB,1,,,,,,,,,Diária,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_PRECADASTRO_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_PRECADASTRO_SUB,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_MDR_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_MDR_SUB,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_TERMINAL_LIST_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_TERMINAL_LIST_SUB,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_DATABASECHANGELOG,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_DATABASECHANGELOG,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_DATABASECHANGELOGLOCK,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_DATABASECHANGELOGLOCK,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_REVINFO,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_REVINFO,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_ERRO_CRGA_EDI,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_ERRO_CRGA_EDI,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_HEADER_EDI,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_HEADER_EDI,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_AJ,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_AJ,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_CC,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_CC,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_CV,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TB_MOVTO_EDI_CV,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_CANAL,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_CANAL,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_EQUIPAMENTO,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_EQUIPAMENTO,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_MEIO_CAPTURA,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_MEIO_CAPTURA,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_MODALIDADE_PAGAMENTO,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_MODALIDADE_PAGAMENTO,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_PLANO_PARCELAS,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_PLANO_PARCELAS,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_BRAND_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_BRAND_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/domain-tables/brand_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_BRAND_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_BRAND_LIST,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/brand_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_BRAND_PRODUCT,Adquirência,TB_ADQUIRENCIA_ADIQ_BRAND_PRODUCT,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/brand_product_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_CNAE_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_CNAE_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/domain-tables/cnae_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_CNAE_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_CNAE_LIST,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/cnae_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_LEGAL_NATURE_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_LEGAL_NATURE_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/domain-tables/legal_nature_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_LEGAL_NATURE_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_LEGAL_NATURE_LIST,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/legal_nature_list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_PAYMENTS_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_PAYMENTS_LIST,1,https://admin-bancopan.adiq.io/v1/interface/payments/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,6 HORAS,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_PRECADASTRO,Adquirência,TB_ADQUIRENCIA_ADIQ_PRECADASTRO,1,https://admin.adiq.io/v3/interface/onboarding/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES,Adquirência,TB_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES,1,https://admin-bancopan.adiq.io/v1/interface/schedule-receivables/analytic_statement,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/schedule-receivables/analytic_statement,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/seller/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_ECOMM_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_ECOMM_SUB,1,https://admin-turbopan.adiq.io/v1/interface/seller/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_LIST,1,https://admin-bancopan.adiq.io/v1/interface/seller/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_LIST_SUB,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_LIST_SUB,1,https://admin-turbopan.adiq.io/v1/interface/seller/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_TERMINAL_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_TERMINAL_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/lead-seller-terminal/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_SELLER_TERMINAL_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_SELLER_TERMINAL_LIST,1,https://admin-bancopan.adiq.io/v1/interface/lead-seller-terminal/list,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE_OFERTA,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE_OFERTA,1,cd_cliente_oferta,AWS,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,adquirencia,adquirencia,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE_SERVICO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_CLIENTE_SERVICO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_ENDERECO_ENTREGA,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_ENDERECO_ENTREGA,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_EQUIPAMENTO_PEDIDO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_EQUIPAMENTO_PEDIDO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_OFERTA_COMBO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_OFERTA_COMBO,1,cd_oferta_combo,AWS,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,adquirencia,adquirencia,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_PEDIDO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_PEDIDO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_PROSPECCAO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_PROSPECCAO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_SERVICO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_SERVICO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_CD_WHITELIST,Adquirência,TB_ADQUIRENCIA_WHITELABEL_CD_WHITELIST,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_COMBO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_COMBO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_COMBO_CLIENTE,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_COMBO_CLIENTE,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_EQUIPAMENTO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_EQUIPAMENTO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_FAIXA_FATURAMENTO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_FAIXA_FATURAMENTO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_MODALIDADE,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_MODALIDADE,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_PRAZO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_PRAZO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_RAMO_ATIVIDADE,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_RAMO_ATIVIDADE,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_STATUS,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_STATUS,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_STATUS_STEP,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_STATUS_STEP,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_STEP,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_STEP,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_DM_TAXA,Adquirência,TB_ADQUIRENCIA_WHITELABEL_DM_TAXA,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_PG_ERRO_INTEGRACAO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_PG_ERRO_INTEGRACAO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_WHITELABEL_PG_STATUS_TRANSACAO,Adquirência,TB_ADQUIRENCIA_WHITELABEL_PG_STATUS_TRANSACAO,1,-,-,db-adquirencia-cluster.cluster-cey6nrazrsaq.us-east-1.rds.amazonaws.com,-,Whitelabel,DMS,Pendente Engenheiro de Dados,AUTOMATICA,MIN-10,APPEND
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_BRAND_LIST,Adquirência,VW_ADQUIRENCIA_ADIQ_BRAND_LIST,1,AWS.TB_ADQUIRENCIA_ADIQ_BRAND_LIST,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_BRAND_PRODUCT,Adquirência,VW_ADQUIRENCIA_ADIQ_BRAND_PRODUCT,1,AWS.TB_ADQUIRENCIA_ADIQ_BRAND_PRODUCT,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,Pendente Engenheiro de Dados,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_CNAE_LIST,Adquirência,VW_ADQUIRENCIA_ADIQ_CNAE_LIST,1,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,AUTOMATICO,,,INCREMENTAL,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_LEGAL_NATURE_LIST,Adquirência,VW_ADQUIRENCIA_ADIQ_LEGAL_NATURE_LIST,1,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,AUTOMATICO,,,INCREMENTAL,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_PRAZO_RECEBIMENTO,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TDM_PRAZO_RECEBIMENTO,1,,,,,,,,,,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_PRECADASTRO,Adquirência,VW_ADQUIRENCIA_ADIQ_PRECADASTRO,1,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,AUTOMATICO,,,INCREMENTAL,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES,Adquirência,VW_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES,1,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,AUTOMATICO,,,INCREMENTAL,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES_ECOMM,Adquirência,VW_ADQUIRENCIA_ADIQ_SCHEDULE_RECEIVABLES_ECOMM,1,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,AUTOMATICO,,,INCREMENTAL,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_SELLER_ECOMM,Adquirência,VW_ADQUIRENCIA_ADIQ_SELLER_ECOMM,1,,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA,1,,,,,,,,,,
DB_PAN_DL_RAW.VW_ADQUIRENCIA_ADIQ_SELLER_LIST,Adquirência,VW_ADQUIRENCIA_ADIQ_SELLER_LIST,1,,AWS,S3,PAN-DL-PRD-RAW,-,lambda--datalake-prd-adiq-master,,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_AUDIT,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_AUDIT,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_COMBO_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_COMBO_ECOMM,1,https://admin-bancopanecomm.adiq.io/v1/interface/domain-tables/combo,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente preenchimento,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_COMBO_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_COMBO_LIST,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/combo,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente preenchimento,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_PAYMENTPLAN_ECOMM,Adquirência,TB_ADQUIRENCIA_ADIQ_PAYMENTPLAN_ECOMM,1,https://admin-bancopanecomm.adiq.io//v1/interface/domain-tables/paymentplan,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente preenchimento,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_ADIQ_PAYMENTPLAN_LIST,Adquirência,TB_ADQUIRENCIA_ADIQ_PAYMENTPLAN_LIST,1,https://admin-bancopan.adiq.io/v1/interface/domain-tables/paymentplan,FORNECEDOR EXTERNO - ADIQ,-,-,-,lambda--datalake-prd-adiq-master,Pendente preenchimento,AUTOMATICA,DIARIO ÁS 0700h,APPEND
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_AUDIT,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_AUDIT,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_MODALIDADE,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_MODALIDADE,1,,,,,,,,,,
DB_PAN_DL_RAW.TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_MODALIDADE_AUDIT,Adquirência,TB_ADQUIRENCIA_AGENDA_RECEBIVEIS_TTR_OFERTA_MEIO_CAPTURA_MODALIDADE_AUDIT,1,,,,,,,,,,
